
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2023-11-06T21:58:13Z,,-33.7468639947474,151.12133698537946,-33.698417013511062,151.16755798459053,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,
1,-33.746782019734383,151.12133698537946,122.733017,2023-10-12T23:03:59Z,,,"011",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2023-10-12T23:03:59Z,
2,-33.746765004470944,151.12135299481452,113.657318,2023-10-12T23:15:47Z,,,"012",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2023-10-12T23:15:47Z,
3,-33.746618991717696,151.12144402228296,123.543381,2023-10-12T23:23:36Z,,,"013",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2023-10-12T23:23:36Z,
4,-33.74658496119082,151.12154401838779,124.971245,2023-10-12T23:30:48Z,,,"014",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2023-10-12T23:30:48Z,
5,-33.746503992006183,151.12154401838779,118.493622,2023-10-12T23:39:39Z,,,"015",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2023-10-12T23:39:39Z,
6,-33.7468639947474,151.12173998728395,125.28312699999999,2023-10-13T00:08:13Z,,,"016",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2023-10-13T00:08:13Z,
7,-33.746741032227874,151.12176203168929,126.069107,2023-10-13T00:21:18Z,,,"017",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2023-10-13T00:21:18Z,
8,-33.746727034449577,151.12184702418745,105.69098700000001,2023-10-13T00:30:20Z,,,"018",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2023-10-13T00:30:20Z,
9,-33.74656199477613,151.12185599282384,122.796448,2023-10-13T00:41:47Z,,,"019",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2023-10-13T00:41:47Z,
10,-33.746514972299337,151.12189496867359,117.70658899999999,2023-10-13T00:49:42Z,,,"020",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2023-10-13T00:49:42Z,
